,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
56,SVM,4,raw seq,0.8465430745584241,0.7989795918367346,0.9933396764985728,1.0,0.978328173374613,0.9890453834115805,0.19786096256684493,0.0,0.0,0.0
57,SVM,4,emb,0.7502045158209822,0.4778061224489796,0.7564224548049476,0.3987341772151899,0.65625,0.49606299212598437,0.25668449197860965,0.07482993197278912,0.7857142857142857,0.13664596273291926
58,Logistic Regression,4,raw seq,0.6899389845222341,0.42023809523809524,1.0,1.0,1.0,1.0,0.19786096256684493,0.0,0.0,0.0
59,Logistic Regression,4,emb,0.789654785470147,0.5886904761904763,0.7992388201712655,0.7784810126582279,0.6356589147286822,0.6998577524893316,0.36363636363636365,0.2789115646258503,0.7592592592592593,0.40796019900497515
60,Decision Tree,4,raw seq,0.786096256684492,0.45,1.0,1.0,1.0,1.0,0.1925133689839572,0.0,0.0,0.0
61,Decision Tree,4,emb,0.7661658967506899,0.44829931972789117,0.840152235965747,0.7753164556962026,0.716374269005848,0.7446808510638299,0.37433155080213903,0.3129251700680272,0.7419354838709677,0.4401913875598086
62,Random Forest,4,raw seq,0.9374882873942385,0.8785714285714286,0.9971455756422455,1.0,0.9905956112852664,0.9952755905511811,0.19786096256684493,0.0,0.0,0.0
63,Random Forest,4,emb,0.7474737459883605,0.4157312925170068,0.8154138915318744,0.6012658227848101,0.7364341085271318,0.6620209059233448,0.2620320855614973,0.08163265306122448,0.8,0.1481481481481481
64,Baseline,4,raw seq,0.786096256684492,0.5,0.3006660323501427,1.0,0.3006660323501427,0.46232626188734455,0.786096256684492,1.0,0.786096256684492,0.8802395209580839
65,Baseline,4,emb,0.786096256684492,0.5,0.3006660323501427,1.0,0.3006660323501427,0.46232626188734455,0.786096256684492,1.0,0.786096256684492,0.8802395209580839
66,LSTM,4,raw seq,0.7867528538390448,0.648639455782313,0.9838249286393911,1.0,0.948948948948949,0.9738058551617874,0.18716577540106952,0.006802721088435374,0.14285714285714285,0.012987012987012986
67,LSTM,4,emb,0.7104670338654889,0.42304421768707484,0.6993339676498572,0.0,0.0,0.0,0.21390374331550802,0.0,0.0,0.0
68,CNN,4,raw seq,0.9425298208986714,0.9363945578231292,0.9819219790675547,1.0,0.9432835820895522,0.9708141321044547,0.9358288770053476,0.9523809523809523,0.9655172413793104,0.9589041095890412
69,CNN,4,emb,0.7079829048202454,0.4177721088435373,0.6993339676498572,0.0,0.0,0.0,0.21390374331550802,0.0,0.0,0.0
70,SVM,5,raw seq,0.37394741049304686,0.6555555555555556,0.9957627118644068,0.9977528089887641,0.9910714285714286,0.9944008958566629,0.5,0.0,0.0,0.0
